"name","pop","location"
"Porta Westfalica","36364","https://www.google.com/maps/?q=52.2296,8.91612"
"Datteln","36338","https://www.google.com/maps/?q=51.656,7.3453"
"Kempen","36312","https://www.google.com/maps/?q=51.3643,6.41858"
"Lage","36097","https://www.google.com/maps/?q=51.9922,8.79301"
"Lurup","36053","https://www.google.com/maps/?q=53.5927,9.87697"
"Gropiusstadt","36052","https://www.google.com/maps/?q=52.425,13.4667"
"Backnang","35778","https://www.google.com/maps/?q=48.9474,9.43718"
"Falkenhagener Feld","35742","https://www.google.com/maps/?q=52.5519,13.168"
"Pasing","35728","https://www.google.com/maps/?q=48.1415,11.456"
"Wesseling","35665","https://www.google.com/maps/?q=50.8271,6.9747"
"Emsdetten","35582","https://www.google.com/maps/?q=52.1734,7.52781"
"Langen","35416","https://www.google.com/maps/?q=49.9896,8.66852"
"Neu Isenburg","35293","https://www.google.com/maps/?q=50.0483,8.69406"
"Markisches Viertel","35230","https://www.google.com/maps/?q=52.5984,13.3577"
"Zweibruecken","35221","https://www.google.com/maps/?q=49.2469,7.36977"
"Sinsheim","35219","https://www.google.com/maps/?q=49.2529,8.87867"
"Greven","35080","https://www.google.com/maps/?q=52.0936,7.59396"
"Uelzen","34996","https://www.google.com/maps/?q=52.9657,10.5611"
"Bernau bei Berlin","34866","https://www.google.com/maps/?q=52.6798,13.5871"
"Tuttlingen","34847","https://www.google.com/maps/?q=47.9846,8.8177"
"Merseburg","34780","https://www.google.com/maps/?q=51.3548,11.9892"
"Steinfurt","34601","https://www.google.com/maps/?q=52.1505,7.33664"
"Spandau","34506","https://www.google.com/maps/?q=52.5511,13.1992"
